FCT_ORDER_ID,FCT_CLIENT_ID,FCT_DAILY_BUDGET,DIM_TENANT_NAME,DIM_CUSTOMER_NAME,DIM_PRODUCT_FAMILY,DIM_DEVICE,DIM_GEO_TYPE,DIM_COUNTRY_CODE,DIM_REVENUE_TYPE,DIM_BILLING_TYPE,DIM_INDUSTRY_SECTOR_CODE,DIM_F11_ID,DIM_SALESPERSON_NAME,DIM_SALESPERSON_DEPARTMENT,DIM_SALESPERSON_TEAM,DIM_PRODUCT_KEY,DIM_DAY
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-12
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-13
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-14
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-15
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-16
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-17
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-18
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-19
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-20
10000,1000,420.32,Global Media Partners,Audi,Video Campaign,Mobile,NATIONAL,UK,DIRECT,Traffic,HEALTHCARE,VIDE-UK-10000,Anna Mueller,Sales DACH,Team Beta,VIDE-UK,2025-06-21
