profile_id,reported_date,product_group,gross_bookings_usd
8705891950202934,2017-04-27,Yearly,119.9985579
722125030276355,2017-04-25,Yearly,119.99883
5297786596069772,2017-06-29,Yearly,119.99
5297786596069772,2019-06-29,Yearly,119.99
5297786596069772,2020-06-29,Yearly,119.99
5297786596069772,2021-06-29,Yearly,119.99
6.67491E+15,2017-02-03,Yearly,119.99
3516566451194466,2017-06-09,Yearly,119.9980392
9237051930777508,2017-12-14,Yearly Monthly Billing,9.99
6813879535032831,2017-04-09,Yearly,119.99
3869284052075912,2017-04-24,Yearly,119.9989216
4167164366829308,2017-10-23,Yearly,119.9981342
4167164366829308,2018-10-23,Yearly,119.9981342
87725137641823,2017-01-19,Yearly,123.9509606
87725137641823,2018-01-19,Yearly,128.1241112
87725137641823,2019-01-19,Yearly,115.6288755
3878594459209394,2017-04-26,Yearly,119.9991466
1.79508E+15,2017-12-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-01-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-03-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-04-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-05-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-06-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-07-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-08-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-09-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-10-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-11-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2018-12-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-01-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-02-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-03-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-04-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-05-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-06-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-07-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-08-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-09-08,Yearly Monthly Billing,9.081818182
1.79508E+15,2019-10-08,Yearly Monthly Billing,9.081818182
3505952281258075,2017-11-15,Yearly,119.99
3505952281258075,2020-01-22,Yearly,179.99
4.3572E+15,2017-07-04,Yearly,95.992
2152941034592831,2017-10-20,Yearly,119.9985171
4429295749885323,2017-06-23,Yearly,119.9990695
1142744935679383,2017-07-09,Monthly,19.15364419
1142744935679383,2017-08-09,Monthly,18.9155375
1142744935679383,2017-09-09,Monthly,18.70161226
1142744935679383,2017-10-09,Monthly,19.06336677
1142744935679383,2018-12-20,Monthly,18.35662355
1142744935679383,2019-01-20,Monthly,18.22620492
1142744935679383,2019-02-20,Monthly,18.01502024
1142744935679383,2019-03-20,Monthly,17.93215847
1142744935679383,2019-05-03,Monthly,18.24861306
1142744935679383,2019-06-02,Monthly,18.03904048
1142744935679383,2019-06-20,Monthly,18.03904048
2945643531332998,2017-07-02,Yearly Monthly Billing,9.99
2945643531332998,2017-08-10,Yearly Monthly Billing,14.99
2945643531332998,2017-09-10,Yearly Monthly Billing,14.99
2945643531332998,2017-10-10,Yearly Monthly Billing,14.99
2945643531332998,2017-11-10,Yearly Monthly Billing,14.99
2945643531332998,2017-12-10,Yearly Monthly Billing,14.99
2945643531332998,2018-01-10,Yearly Monthly Billing,14.99
